x,y,z,i,Timestamp,Id. Packet
0.560671925544739,0.271701544523239,2.92501974105835,47,3408283474416,7644
0.610158562660217,0.295407652854919,2.90257358551025,51,3408283505304,7644
0.666663467884064,0.322423219680786,2.89387679100037,54,3408283538568,7644
0.796733796596527,0.384309083223343,2.85743570327759,73,3408283616976,7644
0.949610829353333,0.456530421972275,2.80826091766357,86,3408283709640,7644
0.97250109910965,0.467331081628799,2.81117796897888,93,3408283721520,7644
1.04318082332611,0.500545918941498,2.79832553863525,87,3408283761912,7644
1.06018245220184,0.508477926254272,2.78414154052734,87,3408283773792,7644
1.15380573272705,0.552241802215576,2.758216381073,85,3408283828440,7644
1.27399718761444,0.608220040798187,2.73565530776978,92,3408283894968,7644
NaN,NaN,NaN,NaN,NaN,NaN
1.45659971237183,0.692775666713715,2.70213842391968,30,3408283992384,7644
1.33210146427155,0.629365801811218,1.95795619487762,25,3408284161080,7644
1.35877597332001,0.641422867774963,1.94151079654694,25,3408284182464,7644
1.50049197673798,0.705838978290558,1.91230475902557,14,3408284270376,7644
1.5419739484787,0.724592506885529,1.90026259422302,25,3408284296512,7644
1.58532023429871,0.744179666042328,1.88937938213348,27,3408284322648,7644
2.32508850097656,1.08736968040466,2.46203470230103,32,3408284415312,7644
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
2.53832268714905,1.18320965766907,2.42357015609741,31,3408284496096,7644
2.56070327758789,1.19341158866882,2.4300103187561,32,3408284500848,7644
NaN,NaN,NaN,NaN,NaN,NaN
2.82374787330627,1.31104266643524,2.37463426589966,8,3408284593512,7644
2.98550796508789,1.38291692733765,2.32647156715393,26,3408284650536,7644
3.1853084564209,1.4717321395874,2.28040480613708,29,3408284712312,7644
3.49641990661621,1.60948419570923,2.1990749835968,23,3408284802600,7644
3.55479001998901,1.63555145263672,2.19667482376099,24,3408284814480,7644
3.57948756217957,1.64659178256989,2.19627785682678,22,3408284819232,7644
3.92275190353394,1.79812443256378,2.10744071006775,23,3408284904768,7644
3.94786381721497,1.80910086631775,2.0965735912323,20,3408284911896,7644
4.20641422271729,1.91903972625732,1.85743701457977,20,3408285018816,7644
NaN,NaN,NaN,NaN,NaN,NaN
4.21620273590088,1.92293477058411,1.83738946914673,23,3408285025944,7644
5.02113819122314,2.26626420021057,1.22806119918823,33,3408285275424,7644
NaN,NaN,NaN,NaN,NaN,NaN
4.97760534286499,2.24055314064026,0.985820651054382,35,3408285339576,7644
NaN,NaN,NaN,NaN,NaN,NaN
4.73337554931641,2.11096429824829,0.207998633384705,22,3408285558168,7644
4.70634889602661,2.09083867073059,-0.0881727412343025,43,3408285648456,7644
NaN,NaN,NaN,NaN,NaN,NaN
4.691330909729,2.08183765411377,-0.172959268093109,41,3408285674592,7644
